hhid,def_kcal_ae_hh,micro_req_count,micro_rec_count,micro_req_count_pct,micro_rec_count_pct
2085743317,1,1,1,0.0833333333333,0.0833333333333
2085743319,1,0,0,0.0,0.0
2085743320,1,0,0,0.0,0.0
2085743321,1,1,1,0.0833333333333,0.0833333333333
2085743322,0,7,6,0.583333333333,0.5
2085743323,0,0,0,0.0,0.0
2085743324,1,0,0,0.0,0.0
2085744300,0,7,5,0.583333333333,0.416666666667
2085744302,0,8,7,0.666666666667,0.583333333333
2085744303,1,0,0,0.0,0.0
2085744305,1,1,1,0.0833333333333,0.0833333333333
2085744307,1,1,1,0.0833333333333,0.0833333333333
2085744308,1,5,4,0.416666666667,0.333333333333
2085744309,0,7,6,0.583333333333,0.5
2085744311,0,8,6,0.666666666667,0.5
2085744313,1,0,0,0.0,0.0
2085744314,0,10,10,0.833333333333,0.833333333333
2085744315,1,6,4,0.5,0.333333333333
2085744316,1,5,3,0.416666666667,0.25
2085744317,0,2,0,0.166666666667,0.0
2085744318,0,7,6,0.583333333333,0.5
2085744319,1,3,3,0.25,0.25
2085744320,1,0,0,0.0,0.0
2085744324,0,7,5,0.583333333333,0.416666666667
2085744326,1,6,6,0.5,0.5
2085745300,1,0,0,0.0,0.0
2085745301,1,9,8,0.75,0.666666666667
2085745302,1,0,0,0.0,0.0
2085745303,0,7,5,0.583333333333,0.416666666667
2085745304,1,0,0,0.0,0.0
2085745305,1,1,0,0.0833333333333,0.0
2085745306,1,3,1,0.25,0.0833333333333
2085745311,1,2,1,0.166666666667,0.0833333333333
2085745312,1,3,2,0.25,0.166666666667
2085745314,1,1,0,0.0833333333333,0.0
2085745315,1,0,0,0.0,0.0
2085745316,1,3,1,0.25,0.0833333333333
2085745317,0,7,6,0.583333333333,0.5
2085745318,1,6,6,0.5,0.5
2085745319,0,3,3,0.25,0.25
2085745320,0,9,5,0.75,0.416666666667
2085745321,1,1,1,0.0833333333333,0.0833333333333
2085745323,1,6,4,0.5,0.333333333333
2085745324,0,11,10,0.916666666667,0.833333333333
2085746300,0,6,4,0.5,0.333333333333
2085746301,0,8,6,0.666666666667,0.5
2085746303,1,5,3,0.416666666667,0.25
2085746305,1,5,5,0.416666666667,0.416666666667
2085746306,1,0,0,0.0,0.0
2085746307,1,1,0,0.0833333333333,0.0
2085746309,0,12,12,1.0,1.0
2085746310,0,5,3,0.416666666667,0.25
2085746311,1,5,3,0.416666666667,0.25
2085746312,1,0,0,0.0,0.0
2085746314,1,0,0,0.0,0.0
2085746315,1,5,3,0.416666666667,0.25
2085746316,1,2,1,0.166666666667,0.0833333333333
2085746317,1,8,7,0.666666666667,0.583333333333
2085746318,0,10,10,0.833333333333,0.833333333333
2085746322,0,6,4,0.5,0.333333333333
2085746323,1,6,5,0.5,0.416666666667
2085746325,1,4,1,0.333333333333,0.0833333333333
2085746329,1,0,0,0.0,0.0
2085746332,1,1,0,0.0833333333333,0.0
2085746334,1,4,3,0.333333333333,0.25
2085747300,1,3,1,0.25,0.0833333333333
2085747301,0,7,6,0.583333333333,0.5
2085747302,1,2,1,0.166666666667,0.0833333333333
2085747303,1,3,2,0.25,0.166666666667
2085747305,1,3,3,0.25,0.25
2085747306,1,1,1,0.0833333333333,0.0833333333333
2085747307,1,0,0,0.0,0.0
2085747308,1,0,0,0.0,0.0
2085747309,1,2,1,0.166666666667,0.0833333333333
2085747310,1,1,1,0.0833333333333,0.0833333333333
2085747311,1,0,0,0.0,0.0
2085747312,1,9,7,0.75,0.583333333333
2085747313,1,3,3,0.25,0.25
2085747314,1,2,1,0.166666666667,0.0833333333333
2085747316,0,7,5,0.583333333333,0.416666666667
2085747317,1,2,1,0.166666666667,0.0833333333333
2085747318,1,0,0,0.0,0.0
2085747319,1,0,0,0.0,0.0
2085747320,1,1,1,0.0833333333333,0.0833333333333
2085747329,0,0,0,0.0,0.0
2085747330,1,2,1,0.166666666667,0.0833333333333
2086661300,0,5,4,0.416666666667,0.333333333333
2086661301,0,6,4,0.5,0.333333333333
2086661303,1,10,8,0.833333333333,0.666666666667
2086661304,1,1,1,0.0833333333333,0.0833333333333
2086661305,0,6,4,0.5,0.333333333333
2086661307,1,7,5,0.583333333333,0.416666666667
2086661308,0,6,4,0.5,0.333333333333
2086661309,1,1,1,0.0833333333333,0.0833333333333
2086661310,0,5,3,0.416666666667,0.25
2086661311,1,10,8,0.833333333333,0.666666666667
2086661312,1,0,0,0.0,0.0
2086661313,0,5,4,0.416666666667,0.333333333333
2086661314,1,1,1,0.0833333333333,0.0833333333333
