,bmiz06,whz06,waz06,haz06
own_his_cons,0.0817666505006,0.0841158829497,0.0790451687196,-0.0149912423089
gift_his_cons,-0.00847528868473,0.000834134425406,0.0405840729875,0.0450998823649
tot_calcium_cons,0.0599725146861,0.107835355439,0.0412659726419,-0.0518014474235
purch_calcium_cons,0.0581712173846,0.106923526546,0.0356068376418,-0.0551999137569
own_calcium_cons,0.0343903669561,0.0345365220022,0.0511420573968,0.0100320802049
gift_calcium_cons,0.00340152697958,-0.00421239983234,0.0365439107193,0.0295645926003
tot_p_cons,0.0462560039198,0.0710706987957,0.0178693699451,-0.0440099830726
purch_p_cons,0.0247235175562,0.048659143775,-0.0203412078233,-0.0590908898137
own_p_cons,0.0883414679694,0.100956490276,0.0993240868991,0.00350770729255
gift_p_cons,-0.0170793332944,-0.0203656677039,0.0250656509339,0.0417839180603
tot_mg_cons,0.0643902852251,0.0845224173938,0.0443469136168,-0.0331009776607
purch_mg_cons,0.0187069690854,0.0372604323617,-0.0422685662421,-0.0729331465986
own_mg_cons,0.0875129282004,0.101728272733,0.0952360057075,0.00139432602577
gift_mg_cons,-0.0179801182511,-0.0216729546303,0.0187608722731,0.0368319934138
tot_k_cons,0.0350338166234,0.0628285314808,0.0298940448047,-0.0234293952872
purch_k_cons,0.0212961089148,0.0465753126293,0.00218369188285,-0.0350800089663
own_k_cons,0.0814276011621,0.10427895029,0.10437527517,0.00928361407818
gift_k_cons,-0.0129179744356,-0.016585910777,0.0275762146199,0.0394559648411
tot_na_cons,-0.0132137511346,0.0438304146937,0.0228177742606,0.00474913529067
purch_na_cons,-0.0135961608764,0.0393478597203,0.00824245100745,-0.0074821225714
own_na_cons,0.0862812806125,0.109852243092,0.122160812988,0.0228042138188
gift_na_cons,-0.0137954615439,-0.00293505770113,0.0345178093829,0.0442483546471
tot_iron_cons,0.0355564499644,0.0429459632877,0.0216179160963,-0.0193792036268
purch_iron_cons,-0.00215132120294,0.00197390936077,-0.0432932966995,-0.0432255258456
